model,material,numSamples,algorithm,metric,n_neighbors,weights,Accuracy,F1,Precision,Recall,AUC,mean_fit_time,std_fit_time,mean_score_time,std_score_time
KNearestNeighbors,iron,240,auto,euclidean,21,distance,0.994848757112908,0.994848757112908,0.994848757112908,0.994848757112908,0.9999460900745744,0.3131537437438965,0.014425212446549601,20.387426996231078,0.10180448487903658
KNearestNeighbors,iron,240,auto,euclidean,24,uniform,0.9776879305181192,0.9776879305181192,0.9776879305181192,0.9776879305181192,0.9993711610334637,0.3295752048492432,0.015991644287112805,22.995217275619506,0.6395517020621447
KNearestNeighbors,iron,240,auto,euclidean,24,distance,0.993590895477688,0.993590895477688,0.993590895477688,0.993590895477688,0.9999400697241343,0.291935396194458,0.04165997491666178,20.935077571868895,0.05639435091745686
KNearestNeighbors,iron,240,auto,euclidean,27,uniform,0.9752021563342319,0.9752021563342319,0.9752021563342319,0.9752021563342319,0.9992513195384468,0.29952239990234375,0.03961893579126812,23.535138368606567,0.3980160018151792
KNearestNeighbors,iron,240,auto,euclidean,27,distance,0.9927223719676549,0.9927223719676549,0.9927223719676549,0.9927223719676549,0.9999348428490409,0.374039888381958,0.06690031154392803,20.961181592941283,0.21838746696266417
KNearestNeighbors,iron,240,auto,euclidean,30,uniform,0.9707696915244085,0.9707696915244085,0.9707696915244085,0.9707696915244085,0.999095515782313,0.31521196365356446,0.036931691367252065,33.78919849395752,6.323300138413458
KNearestNeighbors,iron,240,auto,euclidean,30,distance,0.9916142557651991,0.9916142557651991,0.9916142557651991,0.9916142557651991,0.9999266245720619,0.27543201446533205,0.04685123351359304,37.91361980438232,1.958652483870845
KNearestNeighbors,iron,240,auto,manhattan,3,uniform,,,,,,0.3000465393066406,0.057449490906393015,0.1976926803588867,0.10160298268703682
KNearestNeighbors,iron,240,auto,manhattan,3,distance,0.999970050913447,0.999970050913447,0.999970050913447,0.999970050913447,0.9999813451267535,0.2787600040435791,0.036540454770141985,70.40780777931214,1.1998486630437237
KNearestNeighbors,iron,240,auto,manhattan,6,uniform,,,,,,0.4387227535247803,0.12302809352106535,0.30097141265869143,0.08518356453495535
KNearestNeighbors,iron,240,auto,manhattan,6,distance,0.9998203054806829,0.9998203054806829,0.9998203054806829,0.9998203054806829,0.9999999719449051,0.427477502822876,0.08095004639071936,77.8907862663269,4.580405724683644
KNearestNeighbors,iron,240,auto,manhattan,9,uniform,,,,,,0.4089515209197998,0.0824199009956259,0.3044638156890869,0.13753928697386514
KNearestNeighbors,iron,240,auto,manhattan,9,distance,0.9996705600479185,0.9996705600479185,0.9996705600479185,0.9996705600479185,0.9999999271195479,0.44536099433898924,0.06995267492735391,85.17540984153747,0.46676349587561367
KNearestNeighbors,iron,240,auto,manhattan,12,uniform,,,,,,0.7046421051025391,0.14501970636514527,0.43204574584960936,0.3028643736373979
KNearestNeighbors,iron,240,auto,manhattan,12,distance,0.9995507637017071,0.9995507637017071,0.9995507637017071,0.9995507637017071,0.999999837449933,0.5493826389312744,0.1788235314335888,85.14039974212646,0.4817417757494063
KNearestNeighbors,iron,240,auto,manhattan,15,uniform,,,,,,0.6940825939178467,0.14211795747288583,0.18071675300598145,0.12590183611259215
KNearestNeighbors,iron,240,auto,manhattan,15,distance,0.9994010182689429,0.9994010182689429,0.9994010182689429,0.9994010182689429,0.9999997253549076,0.5824129581451416,0.2235591348462253,84.77620339393616,0.24646054148059482
KNearestNeighbors,iron,240,auto,manhattan,18,uniform,,,,,,0.5884045124053955,0.18892237865759073,0.41924304962158204,0.27190489544724367
KNearestNeighbors,iron,240,auto,manhattan,18,distance,0.9993710691823899,0.9993710691823899,0.9993710691823899,0.9993710691823899,0.9999995795684846,0.4939872741699219,0.12395885348414397,85.01032104492188,0.2788102078773478
KNearestNeighbors,iron,240,auto,manhattan,21,uniform,,,,,,0.7259247303009033,0.24000112609140145,0.4931332588195801,0.2545866102483899
KNearestNeighbors,iron,240,auto,manhattan,21,distance,0.9992812219227314,0.9992812219227314,0.9992812219227314,0.9992812219227314,0.999999333019459,0.5846793174743652,0.18518215349469794,85.31525793075562,0.3677025443313107
KNearestNeighbors,iron,240,auto,manhattan,24,uniform,,,,,,0.5664411544799804,0.16543318223539283,0.7015942096710205,0.18688317561797893
KNearestNeighbors,iron,240,auto,manhattan,24,distance,0.9990116801437556,0.9990116801437556,0.9990116801437556,0.9990116801437556,0.9999991310762082,0.6324058055877686,0.21366283886010307,86.49116330146789,0.4511281380081649
KNearestNeighbors,iron,240,auto,manhattan,27,uniform,,,,,,0.6749174118041992,0.2140518358725464,0.5737209796905518,0.34035115178383074
KNearestNeighbors,iron,240,auto,manhattan,27,distance,0.9988619347109913,0.9988619347109913,0.9988619347109913,0.9988619347109913,0.9999987552759307,0.4857521057128906,0.06955190781497088,88.85656957626342,0.7000774117257923
KNearestNeighbors,iron,240,auto,manhattan,30,uniform,,,,,,0.6588321685791015,0.13887160817147767,0.619442081451416,0.27498696098260955
KNearestNeighbors,iron,240,auto,manhattan,30,distance,0.9986522911051214,0.9986522911051214,0.9986522911051214,0.9986522911051214,0.9999984693458372,0.5651861190795898,0.09671648411200905,92.00841875076294,1.151512393419629
KNearestNeighbors,iron,240,auto,chebyshev,3,uniform,,,,,,0.5464717388153076,0.06984665936745789,0.4613815784454346,0.1796232966188527
KNearestNeighbors,iron,240,auto,chebyshev,3,distance,0.9969451931716083,0.9969451931716083,0.9969451931716083,0.9969451931716083,0.9990881521589893,0.5537886619567871,0.20774850986017382,118.51924657821655,0.7620151844006394
KNearestNeighbors,iron,240,auto,chebyshev,6,uniform,,,,,,0.7332875251770019,0.1810871706132515,0.23379225730895997,0.18146604421061002
