model,material,numSamples,algorithm,metric,n_neighbors,weights,Accuracy,F1,Precision,Recall,AUC,mean_fit_time,std_fit_time,mean_score_time,std_score_time
KNearestNeighbors,iron,120,kd_tree,minkowski,21,uniform,0.9647798742138365,0.9647798742138365,0.9647798742138365,0.9647798742138365,0.9983664757744333,1.2235178470611572,0.026398463869403907,14.59373779296875,0.24736323439803573
KNearestNeighbors,iron,120,kd_tree,minkowski,21,distance,0.9844564240790655,0.9844564240790655,0.9844564240790655,0.9844564240790655,0.9996267443688167,1.286668348312378,0.0241335989962447,13.41089062690735,0.3441400997193959
KNearestNeighbors,iron,120,kd_tree,minkowski,24,uniform,0.9622042527702905,0.9622042527702905,0.9622042527702905,0.9622042527702905,0.9981111462843341,1.3013372421264648,0.02203687658198231,15.172131061553955,0.23241422820868157
KNearestNeighbors,iron,120,kd_tree,minkowski,24,distance,0.9832584606169512,0.9832584606169512,0.9832584606169512,0.9832584606169512,0.9996262384045936,1.29908127784729,0.03671599439268515,14.132863283157349,0.408968963979782
KNearestNeighbors,iron,120,kd_tree,minkowski,27,uniform,0.9598981731057205,0.9598981731057205,0.9598981731057205,0.9598981731057205,0.9978002202414122,1.239285373687744,0.05853187418043022,15.973172473907471,0.32582860606606745
KNearestNeighbors,iron,120,kd_tree,minkowski,27,distance,0.9817310572027553,0.9817310572027553,0.9817310572027553,0.9817310572027553,0.9996071459345013,1.2411649703979493,0.024097847382873037,14.511086177825927,0.25213168373454525
KNearestNeighbors,iron,120,kd_tree,minkowski,30,uniform,0.9555555555555555,0.9555555555555555,0.9555555555555555,0.9555555555555555,0.9974786757997072,1.258335781097412,0.07436370169928658,16.157699966430663,0.2593913110100551
KNearestNeighbors,iron,120,kd_tree,minkowski,30,distance,0.980263551961665,0.980263551961665,0.980263551961665,0.980263551961665,0.9995883474754619,1.2219369411468506,0.05960623716077407,14.867496728897095,0.1428526140239916
KNearestNeighbors,iron,120,kd_tree,euclidean,3,uniform,0.9935609463911351,0.9935609463911351,0.9935609463911351,0.9935609463911351,0.9986576859740218,1.2963703155517579,0.045511146486709,6.710680198669434,0.19367638712778684
KNearestNeighbors,iron,120,kd_tree,euclidean,3,distance,0.9952081461515425,0.9952081461515425,0.9952081461515425,0.9952081461515425,0.9986845010765606,1.2091519832611084,0.10070345765311955,5.902133560180664,0.24194763095586655
KNearestNeighbors,iron,120,kd_tree,euclidean,6,uniform,0.9880503144654089,0.9880503144654089,0.9880503144654089,0.9880503144654089,0.9990231017117346,1.2780792236328125,0.05281886979884551,9.139560890197753,0.10006610973792811
KNearestNeighbors,iron,120,kd_tree,euclidean,6,distance,0.9938903863432167,0.9938903863432167,0.9938903863432167,0.9938903863432167,0.9991284325248904,1.3584880828857422,0.1298253490592567,7.598233461380005,0.3346974030096297
KNearestNeighbors,iron,120,kd_tree,euclidean,9,uniform,0.9829889188379755,0.9829889188379755,0.9829889188379755,0.9829889188379755,0.9990398218709624,1.214097023010254,0.018800152047762413,10.476715040206908,0.20283337369580812
KNearestNeighbors,iron,120,kd_tree,euclidean,9,distance,0.9915543575920933,0.9915543575920933,0.9915543575920933,0.9915543575920933,0.9993084478944333,1.2239216327667237,0.037287237329818486,9.152729940414428,0.20265268181598337
KNearestNeighbors,iron,120,kd_tree,euclidean,12,uniform,0.978796046720575,0.978796046720575,0.978796046720575,0.978796046720575,0.998960978121872,1.101878833770752,0.06689509691023497,11.994737195968629,0.3379107685943268
KNearestNeighbors,iron,120,kd_tree,euclidean,12,distance,0.990356394129979,0.990356394129979,0.990356394129979,0.990356394129979,0.9994691201373849,1.2942234039306642,0.06663353700832055,10.476244258880616,0.26295896754916076
KNearestNeighbors,iron,120,kd_tree,euclidean,15,uniform,0.9725067385444743,0.9725067385444743,0.9725067385444743,0.9725067385444743,0.9988715288884485,1.1823238372802733,0.09285018804179991,13.013451433181762,0.3362671970551386
KNearestNeighbors,iron,120,kd_tree,euclidean,15,distance,0.9882599580712788,0.9882599580712788,0.9882599580712788,0.9882599580712788,0.9996196921185643,1.3008214473724364,0.06118825900416077,11.715182495117187,0.3470616860789967
KNearestNeighbors,iron,120,kd_tree,euclidean,18,uniform,0.9678047319556752,0.9678047319556752,0.9678047319556752,0.9678047319556752,0.998631396774363,1.2695540904998779,0.07667703499099872,13.675658559799194,0.2246122824851551
KNearestNeighbors,iron,120,kd_tree,euclidean,18,distance,0.9864630128781071,0.9864630128781071,0.9864630128781071,0.9864630128781071,0.9996401463449758,1.3024290084838868,0.0704658615450191,12.725864601135253,0.4874085329703578
KNearestNeighbors,iron,120,kd_tree,euclidean,21,uniform,0.9647798742138365,0.9647798742138365,0.9647798742138365,0.9647798742138365,0.9983664757744333,1.2774052143096923,0.07201465802850518,14.739193058013916,0.310596432930935
KNearestNeighbors,iron,120,kd_tree,euclidean,21,distance,0.9844564240790655,0.9844564240790655,0.9844564240790655,0.9844564240790655,0.9996267443688167,1.254249143600464,0.10448702319114327,12.887003946304322,0.5822330567761943
KNearestNeighbors,iron,120,kd_tree,euclidean,24,uniform,0.9622042527702905,0.9622042527702905,0.9622042527702905,0.9622042527702905,0.9981111462843341,1.2480437755584717,0.03863473835853229,15.149976348876953,0.21100884568920164
