model,material,numSamples,activation,alpha,hidden_layer_sizes,learning_rate,max_iter,Accuracy,F1,Precision,Recall,AUC,mean_fit_time,std_fit_time,mean_score_time,std_score_time
NeuralNetwork,iron,240,identity,0.001,"(100,)",invscaling,200,0.9144654088050315,0.9144654088050315,0.9144654088050315,0.9144654088050315,0.9894683241892978,113.93575296401977,28.03375447961207,0.3187152862548828,0.044579019322342386
NeuralNetwork,iron,240,identity,0.001,"(100,)",invscaling,300,0.9166217430368373,0.9166217430368373,0.9166217430368373,0.9166217430368373,0.9910462317771189,138.17474875450134,12.610513429901165,0.3076021671295166,0.013961287402880418
NeuralNetwork,iron,240,identity,0.001,"(100,)",invscaling,400,0.9211440551063192,0.9211440551063192,0.9211440551063192,0.9211440551063192,0.9902850036747598,119.92296004295349,16.465795612135434,0.31178736686706543,0.01514886350138256
NeuralNetwork,iron,240,identity,0.001,"(100,)",invscaling,500,0.9288409703504042,0.9288409703504042,0.9288409703504042,0.9288409703504042,0.9911908165628851,136.0414526462555,20.29447270717863,0.3079566955566406,0.02124980739612751
NeuralNetwork,iron,240,identity,0.001,"(100,)",invscaling,600,0.9247678945792155,0.9247678945792155,0.9247678945792155,0.9247678945792155,0.9907154095650916,125.65920791625976,14.140755152349342,0.3360783100128174,0.035682916830517386
NeuralNetwork,iron,240,identity,0.001,"(100,)",invscaling,700,0.9233602875112309,0.9233602875112309,0.9233602875112309,0.9233602875112309,0.9904710995018556,123.46626300811768,20.833732003633862,0.3027158737182617,0.0028232785272964494
NeuralNetwork,iron,240,identity,0.001,"(100,)",invscaling,800,0.9262353998203053,0.9262353998203053,0.9262353998203053,0.9262353998203053,0.991197173012219,136.75708012580873,19.825735050699194,0.3186644554138184,0.013729725243711445
NeuralNetwork,iron,240,identity,0.001,"(100,)",invscaling,900,0.9303084755914945,0.9303084755914945,0.9303084755914945,0.9303084755914945,0.9922953238972536,169.7436414241791,39.285487229043305,0.30827646255493163,0.01335196245348022
NeuralNetwork,iron,240,identity,0.001,"(100,)",invscaling,1000,0.9298891883797544,0.9298891883797544,0.9298891883797544,0.9298891883797544,0.9911816964323356,139.0399205684662,26.342594345623557,0.31334505081176756,0.020394111576882985
NeuralNetwork,iron,240,identity,0.001,"(100,)",adaptive,100,0.9100329439952082,0.9100329439952082,0.9100329439952082,0.9100329439952082,0.9876440124530088,77.38566036224366,0.8620171352076634,0.36997089385986326,0.03682494181761763
NeuralNetwork,iron,240,identity,0.001,"(100,)",adaptive,200,0.9210242587601079,0.9210242587601079,0.9210242587601079,0.9210242587601079,0.9907818956561139,135.39947080612183,15.399216317072312,0.327375602722168,0.0293147810703996
NeuralNetwork,iron,240,identity,0.001,"(100,)",adaptive,300,0.9097035040431267,0.9097035040431267,0.9097035040431267,0.9097035040431267,0.9898278414513004,116.94144244194031,26.60597351962563,0.3314807415008545,0.022694190392008116
NeuralNetwork,iron,240,identity,0.001,"(100,)",adaptive,400,0.9154537286612758,0.9154537286612758,0.9154537286612758,0.9154537286612758,0.9906659190280814,132.5236937522888,13.330776754562418,0.3237168788909912,0.0150100465421802
NeuralNetwork,iron,240,identity,0.001,"(100,)",adaptive,500,0.9239293201557353,0.9239293201557353,0.9239293201557353,0.9239293201557353,0.9912045531721768,139.10848245620727,23.99662300496099,0.32735333442687986,0.026256476215286137
NeuralNetwork,iron,240,identity,0.001,"(100,)",adaptive,600,0.9321054207846661,0.9321054207846661,0.9321054207846661,0.9321054207846661,0.9914805897952176,148.2514989376068,24.04937172818019,0.33782124519348145,0.02847723053604942
