model,material,numSamples,criterion,max_depth,n_estimators,Accuracy,F1,Precision,Recall,AUC,mean_fit_time,std_fit_time,mean_score_time,std_score_time
RandomForest,iron,240,entropy,301,601,1.0,1.0,1.0,1.0,1.0,109.18508791923523,0.6032534650325428,2.4632630825042723,0.05042911417225015
RandomForest,iron,240,entropy,301,701,1.0,1.0,1.0,1.0,1.0,127.44543671607971,0.464662285895685,3.1146695137023928,0.13836238002761375
RandomForest,iron,240,entropy,301,801,1.0,1.0,1.0,1.0,1.0,145.4168646812439,0.42843752481164266,3.222116470336914,0.08737706406397507
RandomForest,iron,240,entropy,301,901,1.0,1.0,1.0,1.0,1.0,164.15253129005433,0.8782745392737721,3.6128618240356447,0.07401690833053544
RandomForest,iron,240,entropy,401,1,0.9992512728361787,0.9992512728361787,0.9992512728361787,0.9992512728361787,0.9995328531109738,0.29326572418212893,0.023706579408205912,0.2169548511505127,0.013467798500620676
RandomForest,iron,240,entropy,401,101,1.0,1.0,1.0,1.0,1.0,18.495355987548827,0.3169119838260873,0.6139909267425537,0.04755578561001004
RandomForest,iron,240,entropy,401,201,1.0,1.0,1.0,1.0,1.0,36.81712818145752,0.14505015990749223,1.0646604537963866,0.04735006314577727
RandomForest,iron,240,entropy,401,301,1.0,1.0,1.0,1.0,1.0,55.24834213256836,0.47814727065649026,1.322917890548706,0.05545859785468221
RandomForest,iron,240,entropy,401,401,1.0,1.0,1.0,1.0,1.0,72.97143721580505,0.63784318489111,1.8754273414611817,0.06913902358379716
RandomForest,iron,240,entropy,401,501,1.0,1.0,1.0,1.0,1.0,91.46549534797668,0.5928399124343666,2.110840177536011,0.06535644936985868
RandomForest,iron,240,entropy,401,601,1.0,1.0,1.0,1.0,1.0,109.78817381858826,0.3317708103075911,2.4935858726501463,0.07574362850211182
RandomForest,iron,240,entropy,401,701,1.0,1.0,1.0,1.0,1.0,127.75947761535645,0.5316687055082865,3.239894390106201,0.16743106781938047
RandomForest,iron,240,entropy,401,801,1.0,1.0,1.0,1.0,1.0,146.04055738449097,0.4368250331355717,3.3269674301147463,0.19425756737984412
RandomForest,iron,240,entropy,401,901,1.0,1.0,1.0,1.0,1.0,163.8897641658783,0.7085620107900079,3.8135583877563475,0.17198876772216642
