Model Name,learningRate,downScaleFactor,numEpochs,batchSize,Epoch,D Loss,G Loss,Img ID
GenerativeAdversarialNetwork,0.0001,32,100,45,91,0.6567330956459045,0.0023996864911168814,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV
GenerativeAdversarialNetwork,0.0001,32,100,45,92,0.7038419246673584,0.0016426511574536562,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV
GenerativeAdversarialNetwork,0.0001,32,100,45,93,0.5921600461006165,0.0032991627231240273,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV
GenerativeAdversarialNetwork,0.0001,32,100,45,94,0.6461520791053772,0.0015702456003054976,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV
GenerativeAdversarialNetwork,0.0001,32,100,45,95,0.6318198442459106,0.002937992801889777,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV
GenerativeAdversarialNetwork,0.0001,32,100,45,96,0.6533433198928833,0.001967314863577485,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV
GenerativeAdversarialNetwork,0.0001,32,100,45,97,0.6134729385375977,0.0020040967501699924,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV
GenerativeAdversarialNetwork,0.0001,32,100,45,98,0.6494068503379822,0.00132834876421839,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV
GenerativeAdversarialNetwork,0.0001,32,100,45,99,0.6378489136695862,0.0030321581289172173,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV
GenerativeAdversarialNetwork,0.0001,20,100,45,0,0.2829601764678955,0.01795068383216858,images\epochs\GenerativeAdversarialNetwork\rgDMaPWiMn
GenerativeAdversarialNetwork,0.0001,20,100,45,1,0.31523367762565613,0.016586720943450928,images\epochs\GenerativeAdversarialNetwork\rgDMaPWiMn
GenerativeAdversarialNetwork,0.0001,20,100,45,2,0.46254196763038635,0.013732709921896458,images\epochs\GenerativeAdversarialNetwork\rgDMaPWiMn
GenerativeAdversarialNetwork,0.0001,20,100,45,3,0.48152628540992737,0.008540153503417969,images\epochs\GenerativeAdversarialNetwork\rgDMaPWiMn
GenerativeAdversarialNetwork,0.0001,20,100,45,4,0.518372118473053,0.011289357207715511,images\epochs\GenerativeAdversarialNetwork\rgDMaPWiMn
GenerativeAdversarialNetwork,0.0001,20,100,45,5,0.5833908915519714,0.008792304433882236,images\epochs\GenerativeAdversarialNetwork\rgDMaPWiMn
GenerativeAdversarialNetwork,0.0001,20,100,45,6,0.6850028038024902,0.00647726422175765,images\epochs\GenerativeAdversarialNetwork\rgDMaPWiMn
GenerativeAdversarialNetwork,0.0001,20,100,45,7,0.6567659378051758,0.007851344533264637,images\epochs\GenerativeAdversarialNetwork\rgDMaPWiMn
GenerativeAdversarialNetwork,0.0001,20,100,45,8,0.6659959554672241,0.007054471876472235,images\epochs\GenerativeAdversarialNetwork\rgDMaPWiMn
GenerativeAdversarialNetwork,0.0001,20,100,45,9,0.688289999961853,0.006780099589377642,images\epochs\GenerativeAdversarialNetwork\rgDMaPWiMn
GenerativeAdversarialNetwork,0.0001,20,100,45,10,0.6963935494422913,0.005576197057962418,images\epochs\GenerativeAdversarialNetwork\rgDMaPWiMn
GenerativeAdversarialNetwork,0.0001,20,100,45,11,0.6926074028015137,0.0057412260212004185,images\epochs\GenerativeAdversarialNetwork\rgDMaPWiMn
GenerativeAdversarialNetwork,0.0001,20,100,45,12,0.6934298276901245,0.0061943004839122295,images\epochs\GenerativeAdversarialNetwork\rgDMaPWiMn
GenerativeAdversarialNetwork,0.0001,20,100,45,13,0.6976161599159241,0.00602426752448082,images\epochs\GenerativeAdversarialNetwork\rgDMaPWiMn
GenerativeAdversarialNetwork,0.0001,20,100,45,14,0.6936230659484863,0.00562225142493844,images\epochs\GenerativeAdversarialNetwork\rgDMaPWiMn
GenerativeAdversarialNetwork,0.0001,20,100,45,15,0.6930986642837524,0.004782000090926886,images\epochs\GenerativeAdversarialNetwork\rgDMaPWiMn
GenerativeAdversarialNetwork,0.0001,20,100,45,16,0.693500816822052,0.005619535688310862,images\epochs\GenerativeAdversarialNetwork\rgDMaPWiMn
GenerativeAdversarialNetwork,0.0001,20,100,45,17,0.6966306567192078,0.005231679882854223,images\epochs\GenerativeAdversarialNetwork\rgDMaPWiMn
GenerativeAdversarialNetwork,0.0001,20,100,45,18,0.6913516521453857,0.0047639464028179646,images\epochs\GenerativeAdversarialNetwork\rgDMaPWiMn
GenerativeAdversarialNetwork,0.0001,20,100,45,19,0.6913670301437378,0.0033138198778033257,images\epochs\GenerativeAdversarialNetwork\rgDMaPWiMn
GenerativeAdversarialNetwork,0.0001,20,100,45,20,0.6947383880615234,0.004046920221298933,images\epochs\GenerativeAdversarialNetwork\rgDMaPWiMn
GenerativeAdversarialNetwork,0.0001,20,100,45,21,0.6915342211723328,0.005136773455888033,images\epochs\GenerativeAdversarialNetwork\rgDMaPWiMn
